x,y,z,count
-471.01,-22.5664,-138.369,105
293.238,91.2887,262.297,81
-193.875,-26.1305,560.792,64
-212.947,-250.506,-128.977,97
125.459,-565.573,-114.435,109
76.8138,439.298,-287.027,76
-280.285,-508.89,3.41809,139
-141.838,379.613,189.777,104
205.44,-409.37,241.041,90
256.054,-15.2516,-304.291,87
-154.932,80.0921,-291.308,93
-232.191,211.675,-168.289,104
-535.388,66.846,235.948,157
-149.772,-440.78,325.492,86
189.55,-263.952,-322.707,100
61.0026,-8.86779,-153.318,84
-48.6256,-253.327,520.894,152
-487.078,-301.287,-62.0642,75
452.736,-254.231,338.696,33
-435.395,311.939,124.52,79
-178.513,-384.125,-236.275,101
158.012,434.051,-260.85,104
437.559,116.284,-279.182,76
-203.946,-244.023,319.559,83
-55.3554,-35.2795,231.347,89
-93.2808,120.033,81.1054,99
-23.9666,299.627,69.1944,107
-464.236,37.6979,320.595,111
-92.0884,182.96,-399.116,89
-294.17,176.464,93.7709,101
-411.971,426.128,79.2762,73
291.954,297.13,184.637,112
44.3235,-315.094,370.876,91
495.622,-8.83292,-210.055,122
-88.4658,-213.357,124.449,90
-217.887,229.777,514.838,82
256.203,-321.296,-428.198,123
327.18,-149.752,-73.2976,80
366.871,231.666,300.933,114
-182,371.673,175.902,88
191.704,80.7532,-571.127,60
61.1888,200.567,-314.75,109
-347.024,-129.752,317.419,97
-270.492,-165.693,-161.462,73
111.657,-547.512,-159.521,91
261.559,-180.336,507.211,87
273.306,273.564,-344.677,157
116.453,-31.1683,-298.907,86
-47.6844,-446.621,-218.028,75
11.9293,312.085,194.526,83
-43.9272,97.8645,110.859,95
-113.076,-107.468,437.488,123
254.083,-395.385,-198.564,105
-349.271,27.8279,-452.57,60
223.71,225.125,-183.989,111
153.383,371.249,-339.971,110
-82.2273,153.65,-222.584,62
-288.408,116.137,39.3599,81
525.617,-41.4282,182.462,152
288.927,71.009,-542.074,43
-207.587,-93.3831,69.2518,103
260.462,-66.7099,518.311,60
-53.423,-266.634,161.257,93
-127.391,57.2675,167.283,80
-334.868,30.951,-223.842,93
114.875,-332.063,-55.9535,90
10.1383,565.437,-63.5345,105
-241.089,-349.369,284.407,115
