x,y,z,count
210.477,88.6006,93.5019,58
-246.994,390.642,-204.062,43
-77.8482,19.888,502.382,51
-288.58,430.136,-90.7465,62
539.473,5.60245,-97.3001,72
-272.581,240.233,-440.734,41
150.011,316.063,420.151,63
366.728,166.772,97.5363,47
-161.356,223.74,-470.106,52
-273.152,342.276,-286.999,47
-353.078,332.571,325.499,40
-253.398,-88.1403,206.548,56
43.3457,444.896,49.647,47
-225.678,-159.117,-280.509,53
-56.5086,344.809,-507.366,150
-290.723,-148.615,-438.059,51
-360.005,198.964,-174.787,59
97.0094,481.839,-253.875,41
243.795,-513.809,154.093,70
96.179,-181.55,-150.581,66
-83.0954,-321.54,-208.698,58
77.7265,29.7941,-568.558,37
-100.509,121.689,497.128,51
63.1874,-511.014,-218.258,47
190.038,-95.3302,-272.711,49
282.841,470.388,19.7099,99
-491.323,-53.9049,315.616,154
103.445,-498.312,-222.973,41
-295.407,-278.148,241.854,48
-261.821,-116.054,415.714,63
89.1447,-123.151,-547.687,56
-507.347,39.3455,140.874,60
-246.025,-486.285,85.9562,98
-527.066,263.244,41.4955,46
-202.201,155.13,105.844,51
-223.747,533.685,41.5584,97
-290.384,-95.6865,-404.201,45
-172.096,185.978,502.924,46
-30.2461,109.185,-101.122,70
344.814,-352.513,193.23,49
98.1489,393.394,-372.844,63
-328.905,42.7635,-25.7875,55
283.064,-433.137,-126.698,66
39.4477,74.6082,48.529,68
586.825,145.103,118.197,36
-338.16,330.757,-13.8235,54
108.434,-187.577,310.006,70
-74.1271,448.318,-419.817,21
-59.6801,245.819,368.519,47
-274.888,-36.4317,-508.869,38
-154.428,-146.978,304.982,45
-12.265,118.45,253.157,64
-120.341,-324.278,51.5097,52
-1.06509,341.201,349.105,53
340.149,55.4635,-181.432,68
98.2379,-175.731,-523.203,70
387.626,340.605,24.4511,48
134.158,-356.843,-291.693,57
238.111,156.286,188.186,55
-482.83,115.007,-311.398,90
202.469,418.145,396.257,34
-289.353,347.359,-30.5864,54
107.876,-153.141,506.386,57
-318.176,489.955,-122.681,96
41.611,72.9657,4.88531,59
597.629,25.5514,86.6561,38
91.5589,188.52,-252.15,65
-268.406,-547.276,99.5817,104
8.71267,261.671,-150.485,64
449.746,250.039,-241.545,39
-189.217,105.046,-53.777,65
378.516,351.779,-304.159,48
-30.55,-203.757,-504.122,76
284.8,293.786,291.522,43
18.3745,451.562,-219.681,50
8.49997,338.538,-395.113,84
-490.734,35.5065,-221.206,81
381.857,-9.79572,338.333,73
181.852,15.9508,290.582,50
-112.716,-44.8399,415.866,41
-237.621,318.874,-294.008,44
65.6754,-411.977,90.9882,54
267.946,-6.81514,-19.9932,63
-161.717,40.682,283.051,57
81.5793,229.885,-150.139,55
197.2,130.054,345.443,42
-191.095,-241.404,-394.311,43
244.174,-163.035,252.333,61
-120.504,503.268,263.28,41
-416.612,48.2013,289.253,76
-47.4978,500.292,82.7663,48
101.139,-423.65,-300.432,47
-424.421,-413.595,160.911,45
339.572,11.2536,-245.965,74
-337.682,-192.685,260.664,60
323.181,-226.303,-304.811,45
222.099,-341.237,-287.263,33
-28.4436,-595.231,-40.2637,47
379.121,166.626,-415.244,55
130.443,-13.3768,-522.852,55
-366.027,-147.918,94.1628,55
-345.156,-3.14567,170.558,62
284.109,-3.01693,-261.269,73
470.74,-170.133,-115.492,47
-48.5667,-174.377,-100.261,61
-7.44955,-249.092,387.534,72
-377.478,-349.532,-76.818,55
156.291,-174.672,283.163,62
-71.5332,286.429,-139.088,51
-433.789,-107.642,-245.164,56
265.052,415.586,227.749,64
359.24,130.514,-108.499,56
-527.268,-101.733,97.9567,58
-125.028,-234.652,199.639,61
-84.619,-266.704,392.998,61
304.579,-307.165,378.016,52
-433.783,178.681,-202.539,65
19.1984,468.846,-166.244,40
-188.669,373.831,-302.2,55
291.323,33.5503,-390.091,60
252.708,-452.119,264.899,51
-150.607,-408.609,357.664,49
334.663,-43.8065,223.843,57
31.6373,400.022,-289.553,61
394.912,334.845,59.691,52
-130.143,222.441,277.745,67
-364.968,-250.518,-376.405,40
-96.904,219.931,464.049,77
-338.963,49.9804,204.698,57
194.927,-0.0284477,452.977,49
183.812,-149.367,-64.9557,54
-95.5176,375.6,-274.109,53
439.634,-73.9523,302.287,88
-139.668,-262.756,-178.319,59
-463.103,-290.735,219.041,48
-470.279,243.433,28.1838,41
464.73,314.191,192.451,55
209.013,222.286,-395.504,56
-222.119,-434.165,-166.295,69
-339.9,118.581,502.5,15
548.018,-174.426,-113.234,50
243.295,147.807,427.687,60
104.505,-163.763,-329.985,65
139.738,-389.506,-154.262,46
391.019,-183.694,-250.993,41
-507.142,-228.322,205.2,38
-222.757,-167.492,348.723,54
407.737,-233.337,277.203,45
-532.24,122.95,-212.776,67
-349.309,-199.201,445.344,35
-72.5574,308.662,388.439,88
78.4952,-362.449,259.3,48
-454.645,-224.322,230.93,37
167.437,-140.309,-88.2754,50
